"Region.Name","Region.Code","Year","Education","Gender","Number.of.Enrolment","Vizside"
"East Asia & Pacific","EAS",1970,"Pre-primary","Female",NA,"education"
"East Asia & Pacific","EAS",1971,"Pre-primary","Female",NA,"education"
"East Asia & Pacific","EAS",1972,"Pre-primary","Female",NA,"education"
"East Asia & Pacific","EAS",1973,"Pre-primary","Female",NA,"education"
"East Asia & Pacific","EAS",1974,"Pre-primary","Female",NA,"education"
"East Asia & Pacific","EAS",1975,"Pre-primary","Female",NA,"education"
"East Asia & Pacific","EAS",1976,"Pre-primary","Female",NA,"education"
"East Asia & Pacific","EAS",1977,"Pre-primary","Female",NA,"education"
"East Asia & Pacific","EAS",1978,"Pre-primary","Female",NA,"education"
"East Asia & Pacific","EAS",1979,"Pre-primary","Female",NA,"education"
"East Asia & Pacific","EAS",1980,"Pre-primary","Female",NA,"education"
"East Asia & Pacific","EAS",1981,"Pre-primary","Female",NA,"education"
"East Asia & Pacific","EAS",1982,"Pre-primary","Female",NA,"education"
"East Asia & Pacific","EAS",1983,"Pre-primary","Female",8793018,"education"
"East Asia & Pacific","EAS",1984,"Pre-primary","Female",9021612,"education"
"East Asia & Pacific","EAS",1985,"Pre-primary","Female",9690204,"education"
"East Asia & Pacific","EAS",1986,"Pre-primary","Female",10824500,"education"
"East Asia & Pacific","EAS",1987,"Pre-primary","Female",11763783,"education"
"East Asia & Pacific","EAS",1988,"Pre-primary","Female",12852074,"education"
"East Asia & Pacific","EAS",1989,"Pre-primary","Female",13233518,"education"
"East Asia & Pacific","EAS",1990,"Pre-primary","Female",13162523,"education"
"East Asia & Pacific","EAS",1991,"Pre-primary","Female",13984604,"education"
"East Asia & Pacific","EAS",1992,"Pre-primary","Female",14999980,"education"
"East Asia & Pacific","EAS",1993,"Pre-primary","Female",16140926,"education"
"East Asia & Pacific","EAS",1994,"Pre-primary","Female",16965352,"education"
"East Asia & Pacific","EAS",1995,"Pre-primary","Female",17469596,"education"
"East Asia & Pacific","EAS",1996,"Pre-primary","Female",17765784,"education"
"East Asia & Pacific","EAS",1997,"Pre-primary","Female",17695834,"education"
"East Asia & Pacific","EAS",1998,"Pre-primary","Female",17761434,"education"
"East Asia & Pacific","EAS",1999,"Pre-primary","Female",17291158,"education"
"East Asia & Pacific","EAS",2000,"Pre-primary","Female",16888708,"education"
"East Asia & Pacific","EAS",2001,"Pre-primary","Female",16598429,"education"
"East Asia & Pacific","EAS",2002,"Pre-primary","Female",15457436,"education"
"East Asia & Pacific","EAS",2003,"Pre-primary","Female",15645209,"education"
"East Asia & Pacific","EAS",2004,"Pre-primary","Female",15910667,"education"
"East Asia & Pacific","EAS",2005,"Pre-primary","Female",16263381,"education"
"East Asia & Pacific","EAS",2006,"Pre-primary","Female",16828868,"education"
"East Asia & Pacific","EAS",2007,"Pre-primary","Female",17522046,"education"
"East Asia & Pacific","EAS",2008,"Pre-primary","Female",18211486,"education"
"East Asia & Pacific","EAS",2009,"Pre-primary","Female",19016052,"education"
"East Asia & Pacific","EAS",2010,"Pre-primary","Female",20082872,"education"
"East Asia & Pacific","EAS",2011,"Pre-primary","Female",21826908,"education"
"East Asia & Pacific","EAS",2012,"Pre-primary","Female",24797662,"education"
"East Asia & Pacific","EAS",2013,"Pre-primary","Female",26443942,"education"
"East Asia & Pacific","EAS",2014,"Pre-primary","Female",27633578,"education"
"East Asia & Pacific","EAS",2015,"Pre-primary","Female",NA,"education"
"East Asia & Pacific","EAS",2016,"Pre-primary","Female",NA,"education"
"East Asia & Pacific","EAS",2017,"Pre-primary","Female",NA,"education"
"Europe & Central Asia","ECS",1970,"Pre-primary","Female",11281408,"education"
"Europe & Central Asia","ECS",1971,"Pre-primary","Female",11112997,"education"
"Europe & Central Asia","ECS",1972,"Pre-primary","Female",11071537,"education"
"Europe & Central Asia","ECS",1973,"Pre-primary","Female",11109639,"education"
"Europe & Central Asia","ECS",1974,"Pre-primary","Female",11271919,"education"
"Europe & Central Asia","ECS",1975,"Pre-primary","Female",11474266,"education"
"Europe & Central Asia","ECS",1976,"Pre-primary","Female",11674961,"education"
"Europe & Central Asia","ECS",1977,"Pre-primary","Female",11843458,"education"
"Europe & Central Asia","ECS",1978,"Pre-primary","Female",12060658,"education"
"Europe & Central Asia","ECS",1979,"Pre-primary","Female",12181273,"education"
"Europe & Central Asia","ECS",1980,"Pre-primary","Female",12324109,"education"
"Europe & Central Asia","ECS",1981,"Pre-primary","Female",12106438,"education"
