"income.Name","income.Code","Year","Education","Gender","Number.of.Enrolment","Vizside"
"High income","HIC",1970,"Pre-primary","Female",9417850,"education"
"High income","HIC",1971,"Pre-primary","Female",9348905,"education"
"High income","HIC",1972,"Pre-primary","Female",9327978,"education"
"High income","HIC",1973,"Pre-primary","Female",9544958,"education"
"High income","HIC",1974,"Pre-primary","Female",9928444,"education"
"High income","HIC",1975,"Pre-primary","Female",10253320,"education"
"High income","HIC",1976,"Pre-primary","Female",10607375,"education"
"High income","HIC",1977,"Pre-primary","Female",10602085,"education"
"High income","HIC",1978,"Pre-primary","Female",10502504,"education"
"High income","HIC",1979,"Pre-primary","Female",10500861,"education"
"High income","HIC",1980,"Pre-primary","Female",10509207,"education"
"High income","HIC",1981,"Pre-primary","Female",10667317,"education"
"High income","HIC",1982,"Pre-primary","Female",10665101,"education"
"High income","HIC",1983,"Pre-primary","Female",10882063,"education"
"High income","HIC",1984,"Pre-primary","Female",11065109,"education"
"High income","HIC",1985,"Pre-primary","Female",11157063,"education"
"High income","HIC",1986,"Pre-primary","Female",11456245,"education"
"High income","HIC",1987,"Pre-primary","Female",11490376,"education"
"High income","HIC",1988,"Pre-primary","Female",11458030,"education"
"High income","HIC",1989,"Pre-primary","Female",11590987,"education"
"High income","HIC",1990,"Pre-primary","Female",11683049,"education"
"High income","HIC",1991,"Pre-primary","Female",11928481,"education"
"High income","HIC",1992,"Pre-primary","Female",12075386,"education"
"High income","HIC",1993,"Pre-primary","Female",12246237,"education"
"High income","HIC",1994,"Pre-primary","Female",12392875,"education"
"High income","HIC",1995,"Pre-primary","Female",12467044,"education"
"High income","HIC",1996,"Pre-primary","Female",12707003,"education"
"High income","HIC",1997,"Pre-primary","Female",12507285,"education"
"High income","HIC",1998,"Pre-primary","Female",12779005,"education"
"High income","HIC",1999,"Pre-primary","Female",12819896,"education"
"High income","HIC",2000,"Pre-primary","Female",12855744,"education"
"High income","HIC",2001,"Pre-primary","Female",13138671,"education"
